"address_ru;address_eng;hyperlink;lat;lng;raw.yandex"
"г. Москва, Свободный пр., 35 Б;Moscow, Svobodnii pr., 35B;https://mcdonalds.ru/;55,75023556899233;37,81721399999999;[55.75023556899233,37.81721399999999]"
"г. Москва, Люблинская ул., 66, к.1;Moscow, lyublinskaya st., 66, k.1;https://mcdonalds.ru/;55,67185406905896;37,73922250000001;[55.67185406905896,37.73922250000001]"
"г. Москва, ш. Энтузиастов, 63, с.1;Moscow, Entuziastov st, 63, s.1;https://mcdonalds.ru/;55,77583406896864;37,83571050000001;[55.77583406896864,37.83571050000001]"
"г. Москва, Рязанский пр-т, 32, корп. 2;Moscow, Ryazanskiy pr, 32, korp.2;https://mcdonalds.ru/;55,71802956902868;37,78519799999994;[55.71802956902868,37.78519799999994]"
"г. Москва, Большая Дорогомиловская ул.,8А; Moscow, Big Dorogomirovskaya st., 8A;https://mcdonalds.ru/;55,745939568981264;37,566242499999944;[55.745939568981264,37.566242499999944]"
